Node,Num,X,Y,Z,UX,UY,UZ
237.0,0.0,0.018,0.0,0.006331333415508513,-0.04836151001801261,-1.424125182515876,
238.0,0.0,0.015,0.0,0.00244085776106066,-0.04461474142243461,-1.170977194820225,
239.0,0.0,0.012,0.0,-0.0008177405295820515,-0.03906607241072989,-0.9177251103352956,
240.0,0.0,0.009,0.0,-0.003609025824707231,-0.03226762063986152,-0.6613524598354845,
241.0,0.0,0.006,0.0,-0.005029668006963607,-0.02329256575045399,-0.3932826381746278,
242.0,0.0,0.003,0.0,-0.005228139097756135,-0.01401096015629993,-0.1300585723635689,
243.0,0.00298,0.003,0.0,-0.00268567111759548,-0.01195893979849287,-0.1337383834486894,
244.0,0.00298,0.006,0.0,-0.003771147217638703,-0.0244707128303885,-0.3943386241774617,
245.0,0.00298,0.009,0.0,-0.002117325731695887,-0.03370524013625626,-0.6596859013521024,
246.0,0.00298,0.012,0.0,6.820678340125771e-05,-0.04168826577648895,-0.9156346375033698,
247.0,0.00298,0.015,0.0,0.003279536569875773,-0.04751396998365622,-1.167685931166807,
248.0,0.00298,0.018,0.0,0.006760622617638224,-0.05180797926988552,-1.419420030599976,
249.0,0.00298,0.021,0.0,0.01074641282535517,-0.05427629617429416,-1.670058045673674,
250.0,0.00298,0.024,0.0,0.01487136926597797,-0.05515581405355403,-1.917855819938016,
251.0,0.00298,0.027,0.0,0.01923624765430975,-0.05436815543961711,-2.160924610974853,
252.0,0.00298,0.03,0.0,0.02363367171634414,-0.05202974518034539,-2.397623364348671,
253.0,0.00298,0.033,0.0,0.02810789098401407,-0.04814446827617667,-2.62640091915492,
254.0,0.00298,0.036,0.0,0.03253207635059008,-0.04279190401910839,-2.845789440418699,
255.0,0.00298,0.039,0.0,0.03692347375521561,-0.03601286572328798,-3.054371200493245,
256.0,0.00298,0.042,0.0,0.04119985434986911,-0.02787986060050622,-3.250796066454126,
257.0,0.00298,0.045,0.0,0.04536475446715579,-0.01845376675908694,-3.433784538707224,
258.0,0.00298,0.048,0.0,0.04936275237020845,-0.007810101758860142,-3.602137656284795,
259.0,0.00298,0.051,0.0,0.05319083145026963,0.00397747938126158,-3.754741423914964,
260.0,0.00298,0.054,0.0,0.05681086236916415,0.0168276916446362,-3.890572664109813,
261.0,0.00298,0.057,0.0,0.06021738268845255,0.03065794401658645,-4.00870328326223,
262.0,0.00298,0.06,0.0,0.06338416186067014,0.0453812437890915,-4.108304634160436,
263.0,0.00298,0.063,0.0,0.06630573728048954,0.06090868600778317,-4.188651073690917,
264.0,0.00298,0.066,0.0,0.068964609432124,0.07714877829230528,-4.249123152677899,
265.0,0.00298,0.069,0.0,0.07135679175400661,0.0940085222333006,-4.289210167961842,
266.0,0.00298,0.072,0.0,0.07347160053802972,0.1113936285092551,-4.308512205844051,
267.0,0.00298,0.075,0.0,0.07530740332676175,0.1292091113441227,-4.306741584273579,
268.0,0.00298,0.078,0.0,0.07685913269271034,0.1473598069116392,-4.283723735779079,
269.0,0.00298,0.081,0.0,0.0781280025401495,0.1657508203084379,-4.23939749405717,
270.0,0.00298,0.084,0.0,0.07911376799768893,0.1842881244849494,-4.173814802435214,
271.0,0.00298,0.087,0.0,0.07982072145037641,0.2028789749507694,-4.087139830055872,
272.0,0.00298,0.09,0.0,0.08025286833483093,0.2214325061023462,-3.979647509241978,
273.0,0.00298,0.093,0.0,0.08041762720265326,0.2398601437004331,-3.851721492761667,
274.0,0.00298,0.096,0.0,0.0803227913299217,0.2580761679134227,-3.703851545851245,
275.0,0.00298,0.099,0.0,0.07997881483394337,0.2759981224480657,-3.536630380935736,
276.0,0.00298,0.102,0.0,0.07939685756489648,0.2935473326438967,-3.350749953544062,
277.0,0.00298,0.105,0.0,0.07859020875059716,0.3106492996138108,-3.146997234908803,
278.0,0.00298,0.108,0.0,0.0775729719342462,0.3272341685218262,-2.926249484232158,
279.0,0.00298,0.111,0.0,0.07636097881906974,0.3432370929019116,-2.689469042667112,
280.0,0.00298,0.114,0.0,0.0749708242439295,0.3585986514450384,-2.437697676760945,
281.0,0.00298,0.117,0.0,0.07342050846512392,0.3732651661563107,-2.172050499272644,
282.0,0.00298,0.12,0.0,0.07172861525999012,0.387189069607952,-1.893709499938835,
283.0,0.00298,0.123,0.0,0.06991486437065488,0.4003291575766864,-1.603916719512381,
284.0,0.00298,0.126,0.0,0.06799925702664047,0.4126509158499283,-1.303967104517092,
285.0,0.00298,0.129,0.0,0.06600271024557892,0.4241266800992794,-0.995201081392704,
286.0,0.00298,0.132,0.0,0.06394597737175804,0.4347359463881698,-0.6789968924279722,
287.0,0.00298,0.135,0.0,0.06185057452527416,0.4444653924846413,-0.3567627386216734,
288.0,0.00298,0.138,0.0,0.05973720757350467,0.4533092278659799,-0.02992877823289089,
289.0,0.00298,0.141,0.0,0.05762730765345154,0.4612689898299526,0.3000609589234522,
290.0,0.00298,0.144,0.0,0.05554052458600026,0.4683540551219375,0.6317566813174141,
291.0,0.00298,0.147,0.0,0.05349741169669161,0.4745810375882927,0.9637108873190844,
292.0,0.00298,0.15,0.0,0.05151519609698604,0.4799747224138011,1.294486373876222,
293.0,0.00298,0.153,0.0,0.04961260220208043,0.4845667125055205,1.622664236642889,
294.0,0.00298,0.156,0.0,0.04780240156795956,0.4883973304544619,1.94685212586484,
295.0,0.00298,0.159,0.0,0.04610029705645022,0.4915127943755676,2.265691520197997,
296.0,0.00298,0.162,0.0,0.04451127089025769,0.4939692001075218,2.577859956799935,
297.0,0.00298,0.165,0.0,0.04304634128276258,0.4958268889121101,2.882056568367537,
298.0,0.00298,0.168,0.0,0.04169602576430909,0.4971588644085249,3.176973981570429,
299.0,0.00298,0.171,0.0,0.04046213090853576,0.4980404846224609,3.461333566981073,
300.0,0.00298,0.174,0.0,0.03930358250239077,0.4985651198476047,3.734291325146032,
301.0,0.00298,0.177,0.0,0.0382025129575271,0.4988228177931155,3.996711881963356,
302.0,0.00597,0.003,0.0,-0.001617294891894162,-0.01294821143021467,-0.1322248370749368,
303.0,0.00597,0.006,0.0,-0.00184254406570499,-0.02433206500175386,-0.3939775141860726,
304.0,0.00597,0.009,0.0,-0.001018684512464538,-0.03497444859046086,-0.6587493136970122,
305.0,0.00597,0.012,0.0,0.001281272939952906,-0.04305281044831833,-0.913167164094416,
306.0,0.00597,0.015,0.0,0.003957968269088389,-0.04959617633407495,-1.164068630341912,
307.0,0.00597,0.018,0.0,0.007358077556765632,-0.05408195511885573,-1.414291910852166,
308.0,0.00597,0.021,0.0,0.01094827859682075,-0.0569176138475935,-1.663348036484603,
309.0,0.00597,0.024,0.0,0.01490746703719888,-0.05793957951000984,-1.909374708635259,
310.0,0.00597,0.027,0.0,0.01894657819718376,-0.05732953477464509,-2.150608802808942,
