
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  Y     X     Z   

    15217   0.626557377049E-001    0.00000000000        0.750000000000E-002
    15157   0.626557377049E-001    0.00000000000        0.100000000000E-001
     3805   0.626557377049E-001    0.00000000000        0.125000000000E-001
    11369   0.626557377049E-001    0.00000000000        0.125000000000E-001
       24   0.656393442623E-001    0.00000000000         0.00000000000     
     7768   0.656393442623E-001    0.00000000000         0.00000000000     
    15338   0.656393442623E-001    0.00000000000        0.250000000000E-002
    15278   0.656393442623E-001    0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15218   0.656393442623E-001    0.00000000000        0.750000000000E-002
    15158   0.656393442623E-001    0.00000000000        0.100000000000E-001
     3806   0.656393442623E-001    0.00000000000        0.125000000000E-001
    11370   0.656393442623E-001    0.00000000000        0.125000000000E-001
       25   0.686229508197E-001    0.00000000000         0.00000000000     
     7769   0.686229508197E-001    0.00000000000         0.00000000000     
    15339   0.686229508197E-001    0.00000000000        0.250000000000E-002
    15279   0.686229508197E-001    0.00000000000        0.500000000000E-002
    15219   0.686229508197E-001    0.00000000000        0.750000000000E-002
    15159   0.686229508197E-001    0.00000000000        0.100000000000E-001
     3807   0.686229508197E-001    0.00000000000        0.125000000000E-001
    11371   0.686229508197E-001    0.00000000000        0.125000000000E-001
       26   0.716065573771E-001    0.00000000000         0.00000000000     
     7770   0.716065573771E-001    0.00000000000         0.00000000000     
    15340   0.716065573771E-001    0.00000000000        0.250000000000E-002
    15280   0.716065573771E-001    0.00000000000        0.500000000000E-002
    15220   0.716065573771E-001    0.00000000000        0.750000000000E-002
    15160   0.716065573771E-001    0.00000000000        0.100000000000E-001
     3808   0.716065573771E-001    0.00000000000        0.125000000000E-001
    11372   0.716065573771E-001    0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       27   0.745901639344E-001    0.00000000000         0.00000000000     
     7771   0.745901639344E-001    0.00000000000         0.00000000000     
    15341   0.745901639344E-001    0.00000000000        0.250000000000E-002
    15281   0.745901639344E-001    0.00000000000        0.500000000000E-002
    15221   0.745901639344E-001    0.00000000000        0.750000000000E-002
    15161   0.745901639344E-001    0.00000000000        0.100000000000E-001
     3809   0.745901639344E-001    0.00000000000        0.125000000000E-001
    11373   0.745901639344E-001    0.00000000000        0.125000000000E-001
       28   0.775737704918E-001    0.00000000000         0.00000000000     
     7772   0.775737704918E-001    0.00000000000         0.00000000000     
    15342   0.775737704918E-001    0.00000000000        0.250000000000E-002
    15282   0.775737704918E-001    0.00000000000        0.500000000000E-002
    15222   0.775737704918E-001    0.00000000000        0.750000000000E-002
    15162   0.775737704918E-001    0.00000000000        0.100000000000E-001
     3810   0.775737704918E-001    0.00000000000        0.125000000000E-001
    11374   0.775737704918E-001    0.00000000000        0.125000000000E-001
       29   0.805573770492E-001    0.00000000000         0.00000000000     
     7773   0.805573770492E-001    0.00000000000         0.00000000000     
    15343   0.805573770492E-001    0.00000000000        0.250000000000E-002
    15283   0.805573770492E-001    0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15223   0.805573770492E-001    0.00000000000        0.750000000000E-002
    15163   0.805573770492E-001    0.00000000000        0.100000000000E-001
     3811   0.805573770492E-001    0.00000000000        0.125000000000E-001
    11375   0.805573770492E-001    0.00000000000        0.125000000000E-001
       30   0.835409836066E-001    0.00000000000         0.00000000000     
     7774   0.835409836066E-001    0.00000000000         0.00000000000     
    15344   0.835409836066E-001    0.00000000000        0.250000000000E-002
    15284   0.835409836066E-001    0.00000000000        0.500000000000E-002
    15224   0.835409836066E-001    0.00000000000        0.750000000000E-002
    15164   0.835409836066E-001    0.00000000000        0.100000000000E-001
     3812   0.835409836066E-001    0.00000000000        0.125000000000E-001
    11376   0.835409836066E-001    0.00000000000        0.125000000000E-001
       31   0.865245901639E-001    0.00000000000         0.00000000000     
     7775   0.865245901639E-001    0.00000000000         0.00000000000     
    15345   0.865245901639E-001    0.00000000000        0.250000000000E-002
    15285   0.865245901639E-001    0.00000000000        0.500000000000E-002
    15225   0.865245901639E-001    0.00000000000        0.750000000000E-002
    15165   0.865245901639E-001    0.00000000000        0.100000000000E-001
     3813   0.865245901639E-001    0.00000000000        0.125000000000E-001
    11377   0.865245901639E-001    0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       32   0.895081967213E-001    0.00000000000         0.00000000000     
     7776   0.895081967213E-001    0.00000000000         0.00000000000     
    15346   0.895081967213E-001    0.00000000000        0.250000000000E-002
    15286   0.895081967213E-001    0.00000000000        0.500000000000E-002
    15226   0.895081967213E-001    0.00000000000        0.750000000000E-002
    15166   0.895081967213E-001    0.00000000000        0.100000000000E-001
     3814   0.895081967213E-001    0.00000000000        0.125000000000E-001
    11378   0.895081967213E-001    0.00000000000        0.125000000000E-001
       33   0.924918032787E-001    0.00000000000         0.00000000000     
     7777   0.924918032787E-001    0.00000000000         0.00000000000     
    15347   0.924918032787E-001    0.00000000000        0.250000000000E-002
    15287   0.924918032787E-001    0.00000000000        0.500000000000E-002
    15227   0.924918032787E-001    0.00000000000        0.750000000000E-002
    15167   0.924918032787E-001    0.00000000000        0.100000000000E-001
     3815   0.924918032787E-001    0.00000000000        0.125000000000E-001
    11379   0.924918032787E-001    0.00000000000        0.125000000000E-001
       34   0.954754098361E-001    0.00000000000         0.00000000000     
     7778   0.954754098361E-001    0.00000000000         0.00000000000     
    15348   0.954754098361E-001    0.00000000000        0.250000000000E-002
    15288   0.954754098361E-001    0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15228   0.954754098361E-001    0.00000000000        0.750000000000E-002
    15168   0.954754098361E-001    0.00000000000        0.100000000000E-001
     3816   0.954754098361E-001    0.00000000000        0.125000000000E-001
    11380   0.954754098361E-001    0.00000000000        0.125000000000E-001
       35   0.984590163934E-001    0.00000000000         0.00000000000     
     7779   0.984590163934E-001    0.00000000000         0.00000000000     
    15349   0.984590163934E-001    0.00000000000        0.250000000000E-002
    15289   0.984590163934E-001    0.00000000000        0.500000000000E-002
    15229   0.984590163934E-001    0.00000000000        0.750000000000E-002
    15169   0.984590163934E-001    0.00000000000        0.100000000000E-001
     3817   0.984590163934E-001    0.00000000000        0.125000000000E-001
    11381   0.984590163934E-001    0.00000000000        0.125000000000E-001
       36   0.101442622951         0.00000000000         0.00000000000     
     7780   0.101442622951         0.00000000000         0.00000000000     
    15350   0.101442622951         0.00000000000        0.250000000000E-002
