,0,1,2,3,4,5,6,7,8,9,pos x,pos y,theta_z,c,r,pos_z,theta_y,UZ - N1 M1,UZ - N1 M2,UZ - N1 M3,UZ - N1 M4,UZ - N2 M4,UZ - N3 M4,UZ - N4 M4,UZ - N2 M3,UZ - N3 M3,UZ - N4 M3,UZ - N2 M2,UZ - N3 M2,UZ - N4 M2,UZ - N2 M1,UZ - N3 M1,UZ - N4 M1
Core damage 210,209.59,348.96,827.56,1034.6,1169.6,1270.8,1602.3,1701.6,1836.8,2017.5,0.0515057197699921,0.0791887281078867,50.37398099572152,0.027019439282197,0.2524076035470932,0.0062711847311065,-1.9450482412056296,1.531171859844155,1.336651277607382,-3.309801599010115,-2.367775737753677,-2.309753806147524,-2.40899001647027,-2.702878575512715,-3.299137071674471,-3.306160952360729,-3.368395688886124,1.317189919640594,1.379206266416858,1.443937798905811,1.541204707197284,1.554638785967322,1.465639220108799
Core damage 211,209.63,349.04,827.33,1034.5,1170.3,1270.8,1605.6,1704.7,1839.3,2016.9,0.0957584924307465,0.0623634709737079,172.38672629060116,0.0178244903300766,0.3044905516692366,0.0060369124918953,-3.0104952551371884,0.9552154949782936,0.27635053609514,-3.08387388225173,0.7778410256557494,0.7456605506909159,0.7832451858033143,0.418784871948621,-3.064448884803376,-3.159577920236891,-3.184353759449407,0.2629833280391809,0.2864781837496259,0.1573174764435847,0.9432820871786716,1.003926277840887,1.01900720878906
Core damage 212,209.69,349.04,827.26,1034.6,1170.4,1270.9,1604.8,1704.5,1839.3,2015.6,0.1141385253160751,0.1532241749877512,171.85135138217592,0.0168803318849115,0.2945113323170821,0.0064813470932329,6.210892845003968,3.309966470615002,-0.3707219191418014,0.5599987420660879,-0.1260062878841054,-0.1163410640694963,-0.1461560459357991,-0.1966949531674987,0.5173784848114285,0.5758752580420986,0.391603968740642,-0.3597278003624959,-0.4155482599816734,-0.6586379913560401,3.298044715827976,3.31434885093236,3.261672915377931
Core damage 213,209.67,349.03,827.53,1034.6,1170.1,1270.8,1604.7,1704.2,1838.6,2017.4,0.0434999038444442,0.09279903235538,106.3619620386802,0.0180073117441257,0.2329642694250152,0.0060408340540831,-3.645951684564848,1.858615882014466,2.265646729816156,-3.087139031063884,-2.94485800004568,-2.909459335246322,-2.882881186035543,-2.95466688416766,-3.089282088175777,-3.063966299759803,-3.203904930882348,2.228783066224147,2.255619420853998,2.037888096586143,1.853728196049253,1.87401079528474,1.744082078724209
Core damage 214,209.46,348.54,826.4,1032.9,1167.6,1270.8,1600.6,1699.9,1833.2,2011.2,0.0438971801558985,0.0850710788360702,19.90629324187941,0.0188150691690815,0.3073205631973677,0.0060939839968328,-0.3873810023543731,1.487075192500339,1.60975253981439,-3.356175245363477,-2.925487705768989,-2.924198865234744,-2.913997486728967,-3.308969615176271,-3.355513566337757,-3.344821281213248,-3.403708699284057,1.613501374743599,1.662488247341608,1.761990062821821,1.490855768514008,1.535743037812513,1.43193826155203
Core damage 215,209.67,349.05,826.77,1034.3,1168.8,1271.1,1603.8,1705.5,1838.6,2015.2,0.1273715943281712,0.1342434915697091,44.0977784022032,0.0289368361590192,0.2843053987164964,0.0063832748572444,-6.160758353425212,3.062541393016498,-1.933156634078098,-0.2106580486695305,-0.226981095285003,-0.1475343858012832,-0.2398233274008408,0.008642862808266684,-0.3180328202074862,-0.1978988440484218,-0.5603926478069102,-1.908088780954545,-1.96581123366498,-1.480152037302883,3.029635415573782,3.067856562487769,2.933276105876525
Core damage 216,209.52,349.03,826.83,1034.3,1170.2,1270.7,1605.4,1704.3,1839.0,2015.9,0.1119265355973586,0.0593714369083988,163.0950308474401,0.0272185430296099,0.2651109570717418,0.0062819702597259,5.267129243440015,0.9227692240346252,-0.01225249837671641,-3.029900027564127,-0.02751682422706428,-0.07634578055537307,-0.00983040030708292,0.3981756736340545,-3.059041585571098,-3.130377212628893,-2.870371954031464,0.005772984541663589,-0.01364102740310969,-0.1527332640672838,0.9407520458142868,0.9822421625826114,0.8299479975149903
Core damage 217,209.62,349.04,827.48,1034.3,1170.4,1270.7,1605.7,1702.7,1839.3,2014.5,0.0937052033696091,0.0815426293601328,82.7191180775035,0.0206118123448394,0.3157724560382735,0.0061148537921838,3.821386773940194,1.633596373975868,0.1901937920828571,-3.173892855792973,-0.3239554745936573,-0.3803611582782047,-0.3821479425710997,-0.3643570873371441,-3.162183415774809,-3.18184021018652,-3.262707851312298,0.2172376955957396,0.2156719790906532,0.1899792394003642,1.649853194565641,1.624052242379564,1.469546807967419
Core damage 218,209.63,349.04,827.52,1034.4,1170.4,1270.8,1605.5,1703.4,1839.3,2015.7,0.1122638518569984,0.078027097477994,81.66469055654028,0.0218558609546714,0.2675103738113668,0.006115076397757,2.333284896240685,1.546628410207709,-0.485933186675427,-3.240108951594745,-0.9130971866759796,-0.8912471284764575,-0.7647934769868375,-0.9020758044489952,-3.240041077793123,-3.231599086972929,-3.291837578433837,-0.4769321355119707,-0.4273744258900626,-0.4051812856602809,1.546677593060623,1.559435587466547,1.321814017204204
Core damage 219,209.68,349.04,827.38,1034.6,1170.4,1270.8,1605.1,1705.0,1839.4,2016.9,0.0839724300433033,0.143671513960211,156.11010036402405,0.0161087159810337,0.2074694178350467,0.0061344791955485,-2.68537130355252,3.110261779437689,1.28297047407737,-0.07379006734600449,-0.1983517641181382,-0.2301534302649969,-0.1649670195013218,-0.1688795478716237,-0.0008954546310330545,-0.1337729682083639,-0.06727257780179688,1.276319744494402,1.24155747610986,1.084557498257376,3.131509835426988,3.091291730404697,3.106196926364247
