,0,1,2,3,4,5,6,7,8,9,Type,pos x,pos y,theta,c,r,UZ - N1 M1,UZ - N1 M2,UZ - N1 M3,UZ - N1 M4,UZ - N2 M4,UZ - N3 M4,UZ - N4 M4,UZ - N2 M3,UZ - N3 M3,UZ - N4 M3,UZ - N2 M2,UZ - N3 M2,UZ - N4 M2,UZ - N2 M1,UZ - N3 M1,UZ - N4 M1
Skin damage 153,210.0,350.97,835.58,1045.0,1179.8,1267.8,1621.4,1727.0,1863.1,2043.9,Skin,0.1121601485389537,0.0598754425106306,164.38703928026845,0.0444468018041097,0.4047131291951157,4.488164601181857,4.193748475321222,3.901079118291064,4.68979898898482,-1.422393045045021,-3.623400886442607,3.463451587879227,4.104130972674415,-3.454892446112562,-3.443178773815185,-1.161611372859795,1.848670268281827,-1.758153416891186,4.502722400647922,1.349857587285403,1.352627893795703
Skin damage 154,210.18,350.49,834.36,1042.7,1177.2,1266.9,1620.6,1724.1,1861.3,2040.1,Skin,0.0629512153254326,0.119414351627945,130.59051834088166,0.0580927333325725,0.6719516342829266,4.493170142162774,4.200964934596251,3.943894390420947,4.685075244790006,-1.468981220393181,-3.607423363569785,3.481683199639602,4.106411262876755,-3.467029670157615,-3.424066743709037,-1.169966480867029,1.841250122443384,-1.753550081970219,4.502974967401452,1.349591681053849,1.353052770059225
Skin damage 155,209.85,350.79,835.6,1044.8,1179.8,1266.0,1622.0,1727.4,1863.1,2043.7,Interface,0.0677145680963277,0.0590975095022624,69.63870932210585,0.0451668216751786,0.7396957990223789,4.495014407166728,4.189984424503599,3.910030253673516,-4.678692311829261,1.432805232708824,3.617039349409769,-3.470343520177788,4.101315679544042,-3.464074664803543,-3.435511984901301,-1.167072683192928,1.846020810617462,-1.759834563718642,4.501127410791089,1.350421069159737,1.351323914538928
Skin damage 156,210.26,351.15,835.76,1044.7,1179.7,1268.9,1622.8,1727.1,1863.2,2043.9,Skin,0.115859492202119,0.1064741688835655,12.746488267371037,0.0364693672502825,0.3658719512729274,4.488436604279693,4.194331069368724,3.904583339440376,4.686019813651665,-1.42138527313422,-3.623886052503597,3.46437280117195,4.110133133321879,-3.454672437537874,-3.441773129034213,-1.16272707392038,1.846878230799902,-1.756807705808017,4.50136965410842,1.351327926451587,1.353623486763924
Skin damage 157,210.21,350.31,834.51,1040.6,1174.8,1267.1,1618.1,1722.1,1858.3,2037.2,Skin,0.0493503572239165,0.1471559612673412,157.97771615830192,0.0736325462714798,0.9253590525267597,4.494640318265828,4.208057047473424,3.970703350518357,4.718811556020533,-1.507322042610941,-3.597843406277045,3.480761322924821,4.107162857430588,-3.467451804743121,-3.421023490871355,-1.176312970919885,1.839339980028284,-1.751544446246997,4.502283577720792,1.350235615801388,1.35343562463833
Skin damage 158,210.27,350.98,835.66,1043.4,1178.8,1268.9,1620.9,1725.5,1861.3,2041.1,Skin,0.0447273773886931,0.1490611999662258,120.4529320596552,0.0555362435772035,0.631241757119354,4.490412490690877,4.19806621187104,3.933275626723093,4.700913577274879,-1.456156709271712,-3.613239893730141,3.469799259172881,4.106133728222415,-3.459711190102365,-3.434135368181553,-1.167793032110023,1.844828051606386,-1.755664622358265,4.50075999441014,1.351318231556595,1.354005539727399
Skin damage 159,210.11,349.81,833.36,1041.1,1171.7,1264.7,1620.3,1722.0,1861.9,2040.7,Skin,0.086835256882029,0.1226559842425704,36.48773097392268,0.0709230303394366,0.7462939823360264,4.494055652277578,4.208259457042939,3.932052838986058,4.678833807272508,-1.465476302497342,-3.614638757298723,3.480671066231787,4.129111842005015,-3.462632674237466,-3.42532191734558,-1.173000315121324,1.836132512186183,-1.7488270141663,4.506323246461538,1.348860354859482,1.351932409662086
Skin damage 160,210.27,351.14,835.78,1044.6,1179.2,1269.0,1622.8,1726.8,1863.3,2043.8,Skin,0.090384472010041,0.1156214092154298,121.99415481208534,0.0492895631788509,0.2014191408131156,4.488516077903735,4.195043901654511,3.909095878437483,4.685492131744086,-1.427887213885346,-3.622058986058775,3.466286471362146,4.109513046640108,-3.456435640744315,-3.439581147948252,-1.164076435288677,1.846528079505212,-1.756652731463998,4.50116100709929,1.351284183565992,1.353874020872761
Skin damage 161,210.01,351.01,835.9,1044.9,1180.0,1267.6,1622.0,1727.3,1863.2,2044.0,Skin,0.0840218754866772,0.0531691022298975,94.4331151467044,0.0558951958225806,0.2807539317175377,4.490327016732839,4.191859184585637,3.907030157095872,-4.684491833779945,1.427124769992422,3.619918701288559,-3.466553900199174,4.104265833322062,-3.458958600206824,-3.439188108452056,-1.16399885740647,1.847973748746538,-1.758899496821424,4.501089690394242,1.350986058049174,1.352936121214849
Skin damage 162,210.08,349.71,833.15,1041.2,1171.2,1264.2,1620.0,1722.1,1862.1,2041.2,Skin,0.1059535848192751,0.1201560474368078,19.683071912176477,0.0629193251494598,0.988451643539052,4.491949338831356,4.206422090269128,3.902467073843309,-4.6764758809587,1.416689386922541,3.630528405401324,-3.466439876984684,4.143865049219863,-3.447669897447915,-3.439479496317127,-1.16703229020707,1.837351992345174,-1.747047202166302,4.508218024292951,1.349040712730063,1.351184342761936
Skin damage 163,210.23,351.1,835.6,1044.7,1179.7,1268.7,1622.5,1727.2,1863.0,2043.3,Skin,0.068777532000572,0.0959232206298261,119.41291323834966,0.0421107045278775,0.3235717549645721,4.489596082921468,4.194410326405912,3.914318176840728,-4.682038172307961,1.43442516822009,3.617964973136171,-3.470472301535481,4.104478704652029,-3.461825595876125,-3.435770100561689,-1.164034379023278,1.846408703769511,-1.757218008462069,4.501197631132678,1.350592362135534,1.353653428437794
Skin damage 164,209.87,350.77,834.97,1044.1,1179.8,1266.6,1622.2,1727.0,1862.7,2043.1,Skin,0.1489695397015082,0.0663317562848894,39.69491665114893,0.0630228045362983,0.3373178760866446,4.48568103556148,4.195590408994641,3.881589106957272,4.706440876976351,-1.397298344723372,-3.637520627119276,3.471362930935028,4.105620388018254,-3.440459262109951,-3.479904507971853,-1.158683218936035,1.84916470883267,-1.758079995469748,4.504725572016878,1.349016655908707,1.347175635811692
Skin damage 165,210.1,350.68,833.97,1042.7,1179.2,1267.3,1621.3,1725.4,1860.9,2041.3,Skin,0.0425883378193954,0.1037339856291456,56.459953224210494,0.0475316908737199,0.818873585276489,4.496073902766878,4.196411073896597,3.958665703880078,-4.664930190362546,1.484023647648261,3.599634313530702,-3.495670423272462,4.089367807057395,-3.491960914232818,-3.410734032664637,-1.1676661084849,1.842077325406176,-1.756066818901082,4.502294934569538,1.346477043445925,1.352640006584591
Skin damage 166,210.29,351.21,836.06,1044.4,1179.2,1269.4,1622.9,1726.8,1863.0,2043.4,Skin,0.1223071094508562,0.1476174582319547,174.89020054460397,0.0304846053055961,0.4985777311921189,4.48802615115391,4.194970912770559,3.906420469096482,-4.68493180190676,1.4192707051356,3.621913241734798,-3.46457395599919,4.112346689508882,-3.455859632217041,-3.440516530797884,-1.162242846045053,1.846787116240955,-1.756827092107968,4.500741752985171,1.351687857775993,1.35413142232371
Skin damage 167,210.29,351.24,836.12,1044.5,1179.1,1269.5,1623.0,1727.1,1863.1,2043.8,Skin,0.0880084267788132,0.1529402890926492,47.20950850764922,0.0362189004478346,0.2800379744197079,4.488152925595263,4.195437625611117,3.908977368975663,4.689567734583435,-1.43265068704885,-3.620862333042788,3.465590018831211,4.108721703831372,-3.457044019017215,-3.439831049493272,-1.164541587734089,1.846867840805933,-1.757239243455668,4.500379903110254,1.351712737298117,1.354163878667079
Skin damage 168,209.26,350.28,835.2,1044.1,1179.6,1262.3,1622.0,1726.8,1862.5,2043.3,Skin,0.1552072223019807,0.0516343426916258,4.904719916032718,0.0596014252131948,0.7792869313144608,4.474714555191557,4.205916963448641,3.884858343400733,4.706611347334379,-1.402181045527291,-3.633613439765951,3.455212104631514,4.102899326023087,-3.442468699388604,-3.460910748210983,-1.147167982700213,1.853686584845594,-1.750897957495566,4.50838252713362,1.343932816207725,1.353399143860655
Skin damage 169,210.29,351.19,836.03,1044.4,1179.5,1269.4,1622.5,1727.0,1862.8,2042.9,Interface,0.0558276571028251,0.1494826075431671,81.7034697672371,0.0527260229883315,0.2662741167650253,4.488795810358718,4.196408156545659,3.914906952281663,4.693642910948052,-1.437606823171411,-3.619068323950899,3.46681632149432,4.106266776361708,-3.458173557400783,-3.4382968162079,-1.164945691084286,1.846464305968459,-1.757089453432107,4.500335924227564,1.351607407481431,1.354115130581913
Skin damage 170,210.26,350.44,835.22,1041.4,1172.2,1267.5,1620.9,1723.6,1861.4,2039.8,Skin,0.0797828056289298,0.1476431093846836,139.91308598730373,0.0584568081464436,0.8711148624794567,4.490263274627327,4.209099938300123,3.924595259029922,4.707079779498765,-1.47256014548831,-3.618196493193998,3.468494256891903,4.123799731389653,-3.457413702137035,-3.43431562359961,-1.175056206120932,1.839965392622466,-1.751473073526545,4.502502321611026,1.351080488227312,1.353674535758213
Skin damage 171,210.22,351.27,836.15,1045.0,1180.3,1269.2,1623.0,1727.5,1863.3,2044.1,Interface,0.0818074270843371,0.0515024510560394,64.20046667799018,0.0311052180126957,0.2474631186290397,4.488863673709167,4.192661634989969,3.907270541971658,-4.686217416373712,1.42550591871349,3.62111666622426,-3.465439830825841,4.105547319865565,-3.457343509458254,-3.440226499409712,-1.163324116051312,1.847762267622709,-1.758421856057603,4.500287789650979,1.351683532308658,1.353757903451641
Skin damage 172,210.2,350.78,834.85,1043.0,1178.8,1267.7,1621.2,1725.2,1861.2,2042.1,Interface,0.155050653825506,0.1248062071921809,147.27222102227796,0.050481106654119,0.9165776803099036,4.488218113619314,4.196636959104003,3.883250377277711,-4.690206067770702,1.377602222328269,3.637819786597573,-3.44685943127057,4.121684363601243,-3.439699269564982,-3.453830986647489,-1.157673823832609,1.84492810290897,-1.754322235006271,4.503428683221232,1.350953077017443,1.352301455555123
Skin damage 173,210.07,350.94,835.52,1044.6,1179.8,1267.5,1622.6,1727.4,1863.1,2043.5,Interface,0.1458318246834528,0.0755412374546432,122.3631974755882,0.0739157750080267,0.2009159655655907,4.485630191495107,4.196192753456876,3.895975294037589,4.693359555146614,-1.410516014305455,-3.629774994709739,3.461317883614424,4.107665085015522,-3.448841160458993,-3.451085425474412,-1.15946205587617,1.848527810846216,-1.753245205155807,4.503247890434078,1.349708665865682,1.352304458807447
Skin damage 174,209.89,350.71,835.15,1044.8,1179.4,1266.3,1621.1,1727.1,1862.9,2043.5,Skin,0.1251593004383935,0.0653613997096315,160.42440141741272,0.0520271929589553,0.5286715090433745,4.48693827429085,4.195150639074473,3.893369612025386,4.695520254378662,-1.413817684056344,-3.628987239556888,3.45951795904628,4.105353356719366,-3.44957537812358,-3.45016326504473,-1.159854168550466,1.848920694047074,-1.757036398897397,4.504625804055885,1.348807223975959,1.351432369411262
Skin damage 175,210.24,351.21,835.92,1045.0,1180.1,1269.0,1622.8,1727.5,1863.3,2044.1,Interface,0.1042601801757396,0.0851720363678384,21.00692063663203,0.0222611614588597,0.6544947258664726,4.488508013262931,4.19362232788833,3.906240250029224,4.686312899720043,-1.424641233244593,-3.621936707807328,3.465153388872803,4.106708878673383,-3.456543319652417,-3.440816056144258,-1.162876308863704,1.847497625525668,-1.757686840087751,4.501030575222932,1.351269039908885,1.353659396649153
Skin damage 176,210.08,350.45,834.42,1043.2,1177.8,1266.0,1621.1,1725.8,1862.1,2041.3,Skin,0.1384045253161355,0.1052106343962118,94.56276432704416,0.0765110627960073,0.4013738752822344,4.488001963842263,4.197471820911202,3.881096345199336,4.69163057408123,-1.381432148294702,-3.640587388088816,3.45211970553532,4.122029855350053,-3.438540841870265,-3.458045580758081,-1.158143403657622,1.84487895973945,-1.752328488751394,4.50535763555279,1.349872068001717,1.350881611800669
Skin damage 177,209.87,350.88,835.78,1044.8,1179.7,1267.2,1621.2,1727.0,1863.1,2043.7,Skin,0.1200422960899993,0.0484517754821824,96.33946791536188,0.0627224487513166,0.258165659200207,4.485901517816736,4.195059581344285,3.90172524741482,4.690977620919048,-1.422628638591048,-3.623302286421569,3.46309397903488,4.105019091427961,-3.454476917134676,-3.443606851073204,-1.159449800077653,1.849545567383442,-1.75826254227134,4.502688648531834,1.349609955668779,1.353852105896559
Skin damage 178,210.26,351.16,835.79,1044.6,1179.8,1269.0,1622.9,1727.0,1863.2,2043.8,Interface,0.1244241815493323,0.1159621114647672,7.394824079431942,0.0436318400659634,0.2907912362475424,4.488316925398425,4.194484073459138,3.903762772348956,-4.68616016098804,1.418994868184198,3.624508261883173,-3.463338882251827,4.111479235510457,-3.453926562702407,-3.442274379497028,-1.162315315823763,1.846817586102115,-1.756785636400114,4.501366546627612,1.351433785861246,1.353685031258129
Skin damage 179,210.26,350.5,835.31,1041.4,1173.5,1267.7,1619.5,1724.2,1860.6,2038.0,Skin,0.1366911171589331,0.1553622912216965,44.23484321943226,0.0705173629497816,0.7908583263129112,4.488292727853347,4.202022013926869,3.895825823894671,-4.676197353838305,1.365559773250836,3.625261286687119,-3.456895921798976,4.137267963365746,-3.448782246768521,-3.44273909398655,-1.154658586357725,1.841910704572978,-1.751160249271166,4.503405167693097,1.351311571246708,1.353591408566414
Skin damage 180,210.12,350.53,833.7,1041.9,1178.3,1266.7,1620.4,1723.5,1859.5,2041.1,Skin,0.0413238383722562,0.1181082927268451,6.393914498187399,0.0752798940667016,0.5665366918829386,4.497361163088036,4.199647499255453,3.976706244430108,4.679550858460805,-1.49383325660294,-3.586402900078804,3.496666491559663,4.09291252684402,-3.483657490194708,-3.408844128030561,-1.169983136453085,1.841977221591133,-1.754313181619473,4.502917548954884,1.348167478664433,1.352725191899249
Skin damage 181,210.28,351.06,835.78,1044.0,1177.9,1269.0,1623.0,1725.9,1863.1,2043.8,Skin,0.1049833417517677,0.134961385886972,14.21743817462604,0.0267224976736188,0.9845858619046812,4.48842484700968,4.19662359766073,3.907701999880185,-4.684879844186919,1.425525352882486,3.622714688448357,-3.465572694959731,4.116409619256893,-3.45522164974264,-3.439716209697013,-1.164289349795664,1.845616944065269,-1.755736595100318,4.501426152278102,1.35149859421462,1.35394026499049
Skin damage 182,210.28,351.25,835.95,1044.8,1180.0,1269.5,1623.0,1727.1,1863.2,2043.6,Skin,0.0716099171062275,0.1117701032524261,41.66901486085732,0.0247084100393057,0.4069607374110223,4.488669232740449,4.194161789847286,3.911482541805735,-4.685382161638388,1.430672986075542,3.619702514976979,-3.467837479861239,4.105879347231745,-3.458616344779472,-3.438082378014232,-1.163479804575479,1.846916322607538,-1.757623101528367,4.500492436335975,1.351470466341734,1.354015023784242
Skin damage 183,210.25,350.91,835.53,1043.9,1177.9,1268.1,1622.9,1726.2,1863.2,2043.9,Interface,0.0992697136859725,0.1277323909430827,157.1832269914927,0.0361538705695311,0.947007763219862,4.489029076438632,4.197782241070538,3.909069651882678,4.684595076475531,-1.428877801273266,-3.622499841318031,3.46672341268196,4.116545197106792,-3.455823624992344,-3.439051850355149,-1.165271077103521,1.844755290257059,-1.755091662684787,4.502136450375418,1.351165001775837,1.353630120911759
Skin damage 184,210.13,350.88,835.19,1044.8,1178.9,1267.6,1621.2,1727.3,1863.0,2043.9,Skin,0.1008187914773402,0.0860900184093783,120.30842430078758,0.0409008233035755,0.5881791510330546,4.489493337198438,4.194576823788409,3.90418754846364,4.684726541541665,-1.424399797943017,-3.622766566599667,3.465784085732093,4.107814674804644,-3.456224563312244,-3.44098915683895,-1.163273255965755,1.846609566690867,-1.756558365742079,4.502878469862875,1.350068886010959,1.352600726727785
Skin damage 185,210.1,351.12,835.97,1044.9,1180.2,1268.2,1622.8,1727.4,1863.3,2043.9,Interface,0.136387870594224,0.0572597490872773,44.85951319904129,0.0255753713454574,0.9650248313119836,4.486503288052658,4.194717487767848,3.903307506838245,4.690101326795109,-1.421923005658393,-3.623658928788371,3.463458258829819,4.105610829628318,-3.45456750447943,-3.443796312420842,-1.160754676487114,1.848730011845307,-1.757106079330997,4.501854996110023,1.350464414310067,1.353526206299802
Skin damage 186,210.27,351.02,835.6,1043.7,1179.2,1268.8,1621.8,1725.7,1861.9,2042.1,Skin,0.0513227568447162,0.1349753472591775,169.69751609901616,0.03596542747508,0.965667862121231,4.490262315407656,4.197444938236119,3.928661934080183,4.693968422593232,-1.449885734167045,-3.613512981449677,3.471383428387791,4.105666537876545,-3.460568250132189,-3.433591061828847,-1.166629836173021,1.845177565513427,-1.756054836493022,4.500881294541938,1.351197956262714,1.353935276449207
Skin damage 187,210.27,351.02,835.6,1043.8,1178.8,1268.9,1621.9,1725.3,1862.0,2041.1,Skin,0.1397800522804871,0.1328545089015504,21.22793898082176,0.0314109819924726,0.9531542105092614,4.488235247780485,4.195719892348296,3.899301457075402,-4.682951013002266,1.401038664167221,3.626844942147415,-3.458901438576941,4.118232670134844,-3.4506251241601,-3.442272623110515,-1.159765721894934,1.84577049807165,-1.7554300985674,4.501672715858249,1.351500618392731,1.353786869609321
Skin damage 188,209.71,349.75,831.95,1042.1,1176.8,1263.1,1619.0,1725.5,1860.9,2039.3,Skin,0.0584021863589345,0.0901215802669852,23.83027565697805,0.0651603861662829,0.8299677648416143,4.504315053600267,4.19717147674888,3.96424828204986,-4.637415953018611,1.508073649789919,3.599459115254113,-3.511973421438686,4.08099920110289,-3.518992876407133,-3.395990083210829,-1.172141514730819,1.837284197127103,-1.755591229761348,4.505680316007857,1.340668577724156,1.349255920875745
